Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
2	Backward	1	2	73	37	Correct	1254
2	Backward	2	2	28	82	Correct	1755
2	Backward	3	3	158	851	Correct	1879
2	Backward	4	3	614	416	Correct	2222
2	Backward	5	4	3915	5193	Correct	2492
2	Backward	6	4	7285	5827	Correct	3726
2	Backward	7	5	52716	67125	Incorrect	6235
2	Backward	8	5	37194	49173	Correct	6259
2	Backward	9	6	274851	158472	Correct	7575
2	Backward	10	6	837415	514738	Correct	11101
2	Backward	11	7	8416259	9526148	Correct	9123
2	Backward	12	7	1627384	4837261	Correct	10583
2	Backward	13	8	95172836	6387259	Incorrect	10446
2	Backward	14	8	61738594	49583617	Incorrect	22126
