Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
2	Backward	1	2	36	63	Correct	1394
2	Backward	2	2	36	63	Correct	1248
2	Backward	3	3	194	491	Correct	1209
2	Backward	4	3	185	581	Correct	1554
2	Backward	5	4	4195	5914	Correct	1875
2	Backward	6	4	3847	7483	Correct	2374
2	Backward	7	5	51637	73615	Correct	4273
2	Backward	8	5	27418	81472	Correct	8055
2	Backward	9	6	527416	614725	Correct	6755
2	Backward	10	6	173692	296371	Correct	4810
2	Backward	11	7	7492836	6382947	Correct	5100
2	Backward	12	7	8491725	5271948	Correct	14680
2	Backward	13	8	71496258	85269417	Correct	12682
2	Backward	14	8	37418295	59281473	Correct	9028
2	Backward	15	9	482593716	617392584	Incorrect	17747
2	Backward	16	9	517482963	36928254	Incorrect	9878
