Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
1	Backward	1	2	25	52	Correct	1676
1	Backward	2	2	37	74	Incorrect	1064
1	Backward	3	3	384	483	Correct	3312
1	Backward	4	3	483	384	Correct	4766
1	Backward	5	4	3627	7263	Correct	6148
1	Backward	6	4	1637	7361	Correct	3493
1	Backward	7	5	84937	73948	Correct	6355
1	Backward	8	5	74851	15847	Correct	14093
1	Backward	9	6	492851	158294	Correct	4905
1	Backward	10	6	958174	471859	Correct	10610
1	Backward	11	7	8415937	7345918	Incorrect	29736
1	Backward	12	7	8473925	5293748	Correct	7190
1	Backward	13	8	85947162	26174958	Correct	13323
1	Backward	14	8	52614937	73946158	Incorrect	9516
1	Backward	15	9	584196372	726394158	Incorrect	13720
1	Backward	16	9	738149625	526941837	Correct	14669
1	Backward	17	10	5948517263	362758495	Incorrect	14399
1	Backward	18	10	3637415829	928517363	Incorrect	9771

