Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
2	Backward	1	2	93	39	Correct	1656
2	Backward	2	2	36	63	Correct	1060
2	Backward	3	3	741	147	Correct	2060
2	Backward	4	3	749	947	Correct	3171
2	Backward	5	4	1692	2961	Correct	3298
2	Backward	6	4	9361	1639	Correct	3524
2	Backward	7	5	58417	71485	Correct	5289
2	Backward	8	5	69374	47396	Correct	10759
2	Backward	9	6	283694	493682	Incorrect	8318
2	Backward	10	6	719485	584917	Correct	8408
2	Backward	11	7	2749361	1639274	Incorrect	16552
2	Backward	12	7	3614729	9274163	Correct	5997
2	Backward	13	8	58369274	47296385	Correct	23760
2	Backward	14	8	83627419	91472638	Correct	10177
2	Backward	15	9	584917362	26319748	Incorrect	21786
2	Backward	16	9	527483961	1263918475	Incorrect	45070
