Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
1	Backward	1	2	25	52	Correct	4255
1	Backward	2	2	83	38	Correct	1812
1	Backward	3	3	963	369	Correct	1950
1	Backward	4	3	926	629	Correct	1891
1	Backward	5	4	8274	4728	Correct	1677
1	Backward	6	4	9637	7369	Correct	2560
1	Backward	7	5	84726	62748	Correct	2452
1	Backward	8	5	18259	95281	Correct	2556
1	Backward	9	6	381526	625183	Correct	4307
1	Backward	10	6	362741	147263	Correct	3174
1	Backward	11	7	3741825	5281473	Correct	5768
1	Backward	12	7	9251847	7481529	Correct	5091
1	Backward	13	8	72593816	61839527	Correct	6333
1	Backward	14	8	48152639	93625184	Correct	3429
1	Backward	15	9	496385271	172583694	Correct	5909
1	Backward	16	9	625937418	814732569	Incorrect	10450
1	Backward	17	10	8285914736	6374195828	Correct	35976
1	Backward	18	10	5285147369	9637415825	Correct	15816
1	Backward	19	11	83736148592	2914576838	Incorrect	13472
1	Backward	20	11	51471852963	36925814718	Incorrect	9798

