Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
1	Backward	1	2	26	62	Correct	3321
1	Backward	2	2	94	49	Correct	2739
1	Backward	3	3	263	362	Correct	3767
1	Backward	4	3	639	936	Correct	2746
1	Backward	5	4	2859	9582	Correct	3195
1	Backward	6	4	6392	2936	Correct	2746
1	Backward	7	5	82594	49285	Incorrect	11918
1	Backward	8	5	58361	16385	Correct	10618
1	Backward	9	6	596173	371695	Correct	6656
1	Backward	10	6	628517	718526	Incorrect	13802
1	Backward	11	7	8472963	369247	Incorrect	9700
1	Backward	12	7	7148396	693417	Incorrect	10730
