Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
1	Backward	1	2	71	17	Correct	1567
1	Backward	2	2	28	82	Correct	1407
1	Backward	3	3	396	693	Correct	4296
1	Backward	4	3	961	169	Correct	3167
1	Backward	5	4	3849	9483	Correct	4917
1	Backward	6	4	4852	2584	Correct	6774
1	Backward	7	5	58361	16385	Correct	7073
1	Backward	8	5	27485	58472	Correct	8640
1	Backward	9	6	259174	471952	Correct	7317
1	Backward	10	6	374159	951473	Correct	10749
1	Backward	11	7	9185274	4725819	Correct	8912
1	Backward	12	7	7163948	8493617	Correct	9566
1	Backward	13	8	96271483	38417269	Correct	11220
1	Backward	14	8	94172638	83627149	Correct	11113
1	Backward	15	9	693841725	527148396	Correct	17397
1	Backward	16	9	593726148	841627395	Correct	11207
1	Backward	17	10	4837496251	1526847384	Incorrect	16212
1	Backward	18	10	8582947361	1637492858	Correct	16439
1	Backward	19	11	73639528471	17482593267]\	Incorrect	16389
1	Backward	20	11	29473852619	91625837492	Correct	15238
1	Backward	21	12	251736182594	495281673251	Incorrect	19624
1	Backward	22	12	748518394726	627495813847	Incorrect	24490

