Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
1	Backward	1	2	48	84	Correct	1117
1	Backward	2	2	85	58	Correct	862
1	Backward	3	3	936	639	Correct	1039
1	Backward	4	3	258	852	Correct	1607
1	Backward	5	4	4716	6174	Correct	1454
1	Backward	6	4	9637	7369	Correct	1658
1	Backward	7	5	25836	63852	Correct	3425
1	Backward	8	5	52947	74925	Correct	5250
1	Backward	9	6	736295	593627	Incorrect	12156
1	Backward	10	6	516947	749615	Correct	7700
1	Backward	11	7	9471582	2851749	Correct	8642
1	Backward	12	7	8163952	2593618	Correct	9882
1	Backward	13	8	38195274	47251983	Incorrect	7651
1	Backward	14	8	94716382	28361749	Correct	9783
1	Backward	15	9	158472639	936274851	Correct	9721
1	Backward	16	9	593728416	614827395	Correct	34632
1	Backward	17	10	3625837194	491735236	Incorrect	14190
1	Backward	18	10	6948526173	3716254896	Incorrect	24226

