Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
2	Backward	1	2	26	62	Correct	1865
2	Backward	2	2	17	71	Correct	718
2	Backward	3	3	825	528	Correct	2915
2	Backward	4	3	174	471	Correct	2865
2	Backward	5	4	9638	8369	Correct	3109
2	Backward	6	4	7394	4937	Correct	6223
2	Backward	7	5	74951	15947	Correct	5584
2	Backward	8	5	93617	71639	Correct	5402
2	Backward	9	6	639185	581936	Correct	7343
2	Backward	10	6	526147	741625	Correct	4936
2	Backward	11	7	2714936	6394172	Correct	9715
2	Backward	12	7	3815296	6925183	Correct	14576
2	Backward	13	8	74169258	85296147	Correct	24684
2	Backward	14	8	27149385	58394127	Incorrect	12247
2	Backward	15	9	937148526	625841739	Correct	10551
2	Backward	16	9	261748395	59863479	Incorrect	42933
2	Backward	17	10	3693748251	1582473963	Incorrect	33691
2	Backward	18	10	7495182736	672815947	Incorrect	19622
