Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
1	Backward	1	2	36	63	Correct	2553
1	Backward	2	2	25	52	Correct	1481
1	Backward	3	3	417	714	Correct	1920
1	Backward	4	3	749	947	Correct	2373
1	Backward	5	4	6384	4836	Correct	2092
1	Backward	6	4	3947	7493	Correct	2648
1	Backward	7	5	95147	74159	Correct	3024
1	Backward	8	5	95263	36259	Correct	4233
1	Backward	9	6	837162	261783	Incorrect	7117
1	Backward	10	6	736258	852637	Correct	3398
1	Backward	11	7	2637418	814736	Incorrect	3023
1	Backward	12	7	6291485	5841923	Incorrect	4632
