Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
1	Backward	1	2	71	17	Correct	2203
1	Backward	2	2	94	49	Correct	1570
1	Backward	3	3	174	471	Correct	1926
1	Backward	4	3	147	741	Correct	4810
1	Backward	5	4	4962	2694	Correct	3120
1	Backward	6	4	9361	1693	Incorrect	3817
1	Backward	7	5	27148	84762	Incorrect	8250
1	Backward	8	5	93617	71639	Correct	9209
1	Backward	9	6	174963	369471	Correct	4703
1	Backward	10	6	825174	47862	Incorrect	6273
1	Backward	11	7	5917362	2637195	Correct	8407
1	Backward	12	7	7415269	9625714	Incorrect	12720
1	Backward	13	8	41593627	7269341	Incorrect	8001
1	Backward	14	8	71528369	963847	Incorrect	9718
