Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
1	Backward	1	2	48	84	Correct	1758
1	Backward	2	2	95	59	Correct	3526
1	Backward	3	3	372	273	Correct	3244
1	Backward	4	3	518	815	Correct	3085
1	Backward	5	4	5948	8495	Correct	5078
1	Backward	6	4	9473	3749	Correct	8705
1	Backward	7	5	85926	62958	Correct	15582
1	Backward	8	5	51627	72615	Correct	7017
1	Backward	9	6	695172	271596	Correct	8910
1	Backward	10	6	925174	471529	Correct	15846
1	Backward	11	7	9615273	3725169	Correct	17150
1	Backward	12	7	4192736	63247914	Incorrect	16849
1	Backward	13	8	26374918	81947362	Correct	9238
1	Backward	14	8	41963852	25836914	Correct	18152
1	Backward	15	9	472583691	19274834	Incorrect	14699
1	Backward	16	9	271638594	495836172	Correct	14120
1	Backward	17	10	3692583714	4173852963	Correct	21966
1	Backward	18	10	7396258471	1748863192	Incorrect	14013
1	Backward	19	11	93625194837	73849826639	Incorrect	13741
1	Backward	20	11	39473691528	82519437493	Incorrect	16968

