Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
2	Backward	1	2	59	95	Correct	7047
2	Backward	2	2	29	92	Correct	5579
2	Backward	3	3	859	958	Correct	3175
2	Backward	4	3	827	728	Correct	8681
2	Backward	5	4	1594	4951	Correct	7836
2	Backward	6	4	6258	8526	Correct	5216
2	Backward	7	5	25938	83952	Correct	10177
2	Backward	8	5	26938	83962	Correct	7316
2	Backward	9	6	162594	495261	Correct	12308
2	Backward	10	6	473852	25874	Incorrect	6462
2	Backward	11	7	5291637	7361925	Correct	16588
2	Backward	12	7	9526371	1736925	Incorrect	16502
2	Backward	13	8	14725936	63952641	Incorrect	18454
2	Backward	14	8	29637415	51473692	Correct	11466
2	Backward	15	9	693814725	527418369	Incorrect	19583
2	Backward	16	9	259617483	384176952	Incorrect	13514
