Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
1	Backward	1	2	41	14	Correct	3187
1	Backward	2	2	94	49	Correct	1362
1	Backward	3	3	692	296	Correct	926
1	Backward	4	3	936	639	Correct	4715
1	Backward	5	4	6382	2836	Correct	3875
1	Backward	6	4	4715	5174	Correct	4767
1	Backward	7	5	37294	49273	Correct	5898
1	Backward	8	5	81594	49518	Correct	7335
1	Backward	9	6	374169	961473	Correct	8496
1	Backward	10	6	738514	415837	Correct	6442
1	Backward	11	7	7184936	6394817	Correct	9434
1	Backward	12	7	3691485	584963	Incorrect	29567
1	Backward	13	8	91847362	26374819	Correct	26101
1	Backward	14	8	17495263	36259471	Correct	22102
1	Backward	15	9	149582736	638275941	Incorrect	13612
1	Backward	16	9	381596274	472695183	Correct	9317
1	Backward	17	10	6384715296	6925174836	Correct	8526
1	Backward	18	10	7471836925	5296371747	Incorrect	9077
1	Backward	19	11	18526394718	81749362581	Correct	18330
1	Backward	20	11	27385261947	74916258372	Correct	15870
1	Backward	21	12	362738594162	261485942763	Incorrect	30214
1	Backward	22	12	852583714926	629417385258	Correct	15826
1	Backward	23	13	6382814952736	6325794182836	Incorrect	14770
1	Backward	24	13	5269417369285	5829637189263	Incorrect	24746

