Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
2	Backward	1	2	41	14	Correct	2400
2	Backward	2	2	16	61	Correct	3069
2	Backward	3	3	725	527	Correct	4365
2	Backward	4	3	527	725	Correct	3081
2	Backward	5	4	1736	6371	Correct	12754
2	Backward	6	4	7396	6937	Correct	4019
2	Backward	7	5	18274	47281	Correct	8890
2	Backward	8	5	84916	61948	Correct	7265
2	Backward	9	6	915836	638519	Correct	6875
2	Backward	10	6	152748	847251	Correct	5454
2	Backward	11	7	6251749	9471526	Correct	7158
2	Backward	12	7	7382695	59628376	Incorrect	16680
2	Backward	13	8	25916384	48361952	Correct	12762
2	Backward	14	8	27163849	94836172	Correct	9394
2	Backward	15	9	816394725	524793618	Incorrect	15148
2	Backward	16	9	362947185	581749263	Correct	22485
2	Backward	17	10	9369471582	2851479639	Incorrect	13119
2	Backward	18	10	9159374826	6284739519	Correct	16759
2	Backward	19	11	15281637495	5.94737E+11	Incorrect	20977
2	Backward	20	11	15261958374	47359812651	Incorrect	30240
