Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
1	Backward	1	2	63	36	Correct	1118
1	Backward	2	2	96	69	Correct	1120
1	Backward	3	3	384	483	Correct	1174
1	Backward	4	3	738	837	Correct	2617
1	Backward	5	4	2749	9472	Correct	1846
1	Backward	6	4	9473	3749	Correct	2946
1	Backward	7	5	73826	62837	Correct	6486
1	Backward	8	5	25169	96152	Correct	4557
1	Backward	9	6	947381	183749	Correct	5317
1	Backward	10	6	936274	472639	Correct	5710
1	Backward	11	7	1725936	6395271	Correct	5356
1	Backward	12	7	6952837	7382596	Correct	9111
1	Backward	13	8	16952738	83725961	Correct	7264
1	Backward	14	8	27385149	94158372	Correct	7412
1	Backward	15	9	615927483	384729516	Correct	8820
1	Backward	16	9	493851627	726158934	Incorrect	12173
1	Backward	17	10	1615947382	2873496151	Incorrect	16033
1	Backward	18	10	2583726941	1496273852	Correct	10892
1	Backward	19	11	49472581963	36918527494	Correct	14888
1	Backward	20	11	36371625849	94852617363	Correct	15174
1	Backward	21	12	739396274158	85172667393	Incorrect	17531
1	Backward	22	12	726174836259	9526377671	Incorrect	9860

