Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
1	Backward	1	2	61	16	Correct	1662
1	Backward	2	2	48	84	Correct	1786
1	Backward	3	3	917	719	Correct	2261
1	Backward	4	3	694	496	Correct	3358
1	Backward	5	4	5263	3625	Correct	7948
1	Backward	6	4	9158	8519	Correct	7171
1	Backward	7	5	16937	73961	Correct	21148
1	Backward	8	5	15269	96521	Incorrect	11000
1	Backward	9	6	851736	637158	Correct	10654
1	Backward	10	6	369274	472963	Correct	12672
1	Backward	11	7	7362958	8952637	Incorrect	17685
1	Backward	12	7	6371584	4851736	Correct	13907
1	Backward	13	8	18526937	73962581	Correct	19164
1	Backward	14	8	51483627	72634581	Incorrect	25985
1	Backward	15	9	739625184	481526937	Correct	18171
1	Backward	16	9	526173849	948376129	Incorrect	29227
1	Backward	17	10	4736159482	2849516837	Incorrect	14425
1	Backward	18	10	8473628591	1932476148	Incorrect	18933

