Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
1	Backward	1	2	61	16	Correct	3084
1	Backward	2	2	15	1	Incorrect	870
1	Backward	3	3	295	592	Correct	4070
1	Backward	4	3	917	719	Correct	3437
1	Backward	5	4	3715	5173	Correct	7001
1	Backward	6	4	7483	3847	Correct	7527
1	Backward	7	5	37285	58273	Correct	13371
1	Backward	8	5	61495	59416	Correct	8006
1	Backward	9	6	273694	496372	Correct	14883
1	Backward	10	6	514837	738415	Correct	11334
1	Backward	11	7	9584162	2614895	Incorrect	12785
1	Backward	12	7	7285936	6395827	Correct	12755
1	Backward	13	8	74196385	58369147	Correct	12322
1	Backward	14	8	84916273	37261948	Correct	11539
1	Backward	15	9	483695271	172859364	Incorrect	12894
1	Backward	16	9	527416938	839514216	Incorrect	14756
