Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT
1	Backward	1	2	51	1	Incorrect	1792
1	Backward	2	2	28	82	Correct	1966
1	Backward	3	3	963	369	Correct	2235
1	Backward	4	3	184	481	Correct	3091
1	Backward	5	4	6258	8526	Correct	4318
1	Backward	6	4	9374	4739	Correct	5998
1	Backward	7	5	47285	58274	Correct	5504
1	Backward	8	5	29638	83692	Correct	6262
1	Backward	9	6	961528	825619	Incorrect	12216
1	Backward	10	6	851472	274158	Correct	11309
1	Backward	11	7	4936172	2716394	Correct	12210
1	Backward	12	7	9258471	1748529	Correct	13875
1	Backward	13	8	93627184	48172639	Correct	14173
1	Backward	14	8	48519362	26391584	Correct	27402
1	Backward	15	9	615947283	382749516	Correct	15588
1	Backward	16	9	637482591	195284136	Incorrect	9966
1	Backward	17	10	9582741963	691473659	Incorrect	18195
1	Backward	18	10	1925174836	6384715291	Correct	13265
1	Backward	19	11	83827495163	36159473618	Incorrect	12631
1	Backward	20	11	85269374158	85147596328	Incorrect	18541
